ID number,Suspended,Quiz:Quiz1 - 1.1 DefineSymbol (Real),Quiz:Quiz2 - 1.1 DefineSymbol (Real),Quiz:Quiz3 - 1.1 DefineSymbol (Real),Quiz:Quiz4 - 1.1 DefineSymbol (Real),Quiz:Quiz5 - 1.1 DefineSymbol (Real),Quiz:Quiz6 - 1.1 DefineSymbol (Real),Quiz:Quiz7 - 1.1 DefineSymbol (Real),Quiz:Quiz8 - 1.1 DefineSymbol (Real),Quiz:Quiz9 - 1.1 DefineSymbol (Real),Quiz:Quiz10 - 1.1 DefineSymbol (Real),Quiz:Quiz11 - 1.1 DefineSymbol (Real),1.1 DefineSymbol total (Real),Quiz:Quiz1 - 1.2 GiveSymbol (Real),Quiz:Quiz2 - 1.2 GiveSymbol (Real),Quiz:Quiz3 - 1.2 GiveSymbol (Real),Quiz:Quiz4 - 1.2 GiveSymbol (Real),Quiz:Quiz5 - 1.2 GiveSymbol (Real),Quiz:Quiz6 - 1.2 GiveSymbol (Real),Quiz:Quiz7 - 1.2 GiveSymbol (Real),Quiz:Quiz8 - 1.2 GiveSymbol (Real),Quiz:Quiz9 - 1.2 GiveSymbol (Real),Quiz:Quiz10 - 1.2 GiveSymbol (Real),Quiz:Quiz11 - 1.2 GiveSymbol (Real),1.2 GiveSymbol total (Real),Quiz:Quiz1 - 2.1 TranscribeMulti (Real),Quiz:Quiz2 - 2.1 TranscribeMulti (Real),Quiz:Quiz3 - 2.1 TranscribeMulti (Real),Quiz:Quiz4 - 2.1 TranscribeMulti (Real),Quiz:Quiz5 - 2.1 TranscribeMulti (Real),Quiz:Quiz6 - 2.1 TranscribeMulti (Real),Quiz:Quiz7 - 2.1 TranscribeMulti (Real),Quiz:Quiz8 - 2.1 TranscribeMulti (Real),Quiz:Quiz9 - 2.1 TranscribeMulti (Real),Quiz:Quiz10 - 2.1 TranscribeMulti (Real),Quiz:Quiz11 - 2.1 TranscribeMulti (Real),2.1 TranscribeMulti total (Real),Quiz:Quiz1 - 2.2 TranscribeC (Real),Quiz:Quiz2 - 2.2 TranscribeC (Real),Quiz:Quiz3 - 2.2 TranscribeC (Real),Quiz:Quiz4 - 2.2 TranscribeC (Real),Quiz:Quiz5 - 2.2 TranscribeC (Real),Quiz:Quiz6 - 2.2 TranscribeC (Real),Quiz:Quiz7 - 2.2 TranscribeC (Real),Quiz:Quiz8 - 2.2 TranscribeC (Real),Quiz:Quiz9 - 2.2 TranscribeC (Real),Quiz:Quiz10 - 2.2 TranscribeC (Real),Quiz:Quiz11 - 2.2 TranscribeC (Real),2.2 TranscribeC total (Real),Quiz:Quiz1 - 2.3 TranscribeV (Real),Quiz:Quiz2 - 2.3 TranscribeV (Real),Quiz:Quiz3 - 2.3 TranscribeV (Real),Quiz:Quiz4 - 2.3 TranscribeV (Real),Quiz:Quiz5 - 2.3 TranscribeV (Real),Quiz:Quiz6 - 2.3 TranscribeV (Real),Quiz:Quiz7 - 2.3 TranscribeV (Real),Quiz:Quiz8 - 2.3 TranscribeV (Real),Quiz:Quiz9 - 2.3 TranscribeV (Real),Quiz:Quiz10 - 2.3 TranscribeV (Real),Quiz:Quiz11 - 2.3 TranscribeV (Real),2.3 TranscribeV total (Real),Quiz:Quiz7 - 2.4 TranscribeTone (Real),Quiz:Quiz8 - 2.4 TranscribeTone (Real),Quiz:Quiz9 - 2.4 TranscribeTone (Real),Quiz:Quiz10 - 2.4 TranscribeTone (Real),Quiz:Quiz11 - 2.4 TranscribeTone (Real),Assignment:Ibibio transcription assignment (Real),2.4 TranscribeTone total (Real),Quiz:Quiz1 - 2.5 TranscribeKnown (Real),Quiz:Quiz2 - 2.5 TranscribeKnown (Real),Quiz:Quiz3 - 2.5 TranscribeKnown (Real),Quiz:Quiz4 - 2.5 TranscribeKnown (Real),Quiz:Quiz5 - 2.5 TranscribeKnown (Real),Quiz:Quiz6 - 2.5 TranscribeKnown (Real),Quiz:Quiz7 - 2.5 TranscribeKnown (Real),Quiz:Quiz8 - 2.5 TranscribeKnown (Real),Quiz:Quiz9 - 2.5 TranscribeKnown (Real),Quiz:Quiz10 - 2.5 TranscribeKnown (Real),Quiz:Quiz11 - 2.5 TranscribeKnown (Real),Assignment:Kannada transcription submission (Real),Assignment:Asynchronous Kannada transcription submission (Real),Assignment:Japanese-accented English transcription (Real),2.5 TranscribeKnown total (Real),Quiz:Quiz3 - 3.1 ReadVocalTract (Real),Quiz:Quiz4 - 3.1 ReadVocalTract (Real),Quiz:Quiz5 - 3.1 ReadVocalTract (Real),Quiz:Quiz6 - 3.1 ReadVocalTract (Real),Quiz:Quiz7 - 3.1 ReadVocalTract (Real),Quiz:Quiz8 - 3.1 ReadVocalTract (Real),Quiz:Quiz9 - 3.1 ReadVocalTract (Real),Quiz:Quiz10 - 3.1 ReadVocalTract (Real),Quiz:Quiz11 - 3.1 ReadVocalTract (Real),3.1 ReadVocalTract total (Real),Quiz:Quiz4 - 3.2 GesturalScore (Real),Quiz:Quiz5 - 3.2 GesturalScore (Real),Quiz:Quiz6 - 3.2 GesturalScore (Real),Quiz:Quiz7 - 3.2 GesturalScore (Real),Quiz:Quiz8 - 3.2 GesturalScore (Real),Quiz:Quiz9 - 3.2 GesturalScore (Real),Quiz:Quiz10 - 3.2 GesturalScore (Real),Quiz:Quiz11 - 3.2 GesturalScore (Real),3.2 GesturalScore total (Real),Quiz:Quiz6 - 4.1 SegmentSpectro (Real),Quiz:Quiz7 - 4.1 SegmentSpectro (Real),Quiz:Quiz8 - 4.1 SegmentSpectro (Real),Quiz:Quiz9 - 4.1 SegmentSpectro (Real),Quiz:Quiz10 - 4.1 SegmentSpectro (Real),Quiz:Quiz11 - 4.1 SegmentSpectro (Real),4.1 SegmentSpectro total (Real),Quiz:Quiz6 - 4.2 ReadSpectro (Real),Quiz:Quiz7 - 4.2 ReadSpectro (Real),Quiz:Quiz8 - 4.2 ReadSpectro (Real),Quiz:Quiz9 - 4.2 ReadSpectro (Real),Quiz:Quiz10 - 4.2 ReadSpectro (Real),Quiz:Quiz11 - 4.2 ReadSpectro (Real),Assignment:Formant plots (Real),4.2 ReadSpectro total (Real),Quiz:Quiz6 - 4.3 IdentifyDisplay (Real),Quiz:Quiz7 - 4.3 IdentifyDisplay (Real),Quiz:Quiz8 - 4.3 IdentifyDisplay (Real),Quiz:Quiz9 - 4.3 IdentifyDisplay (Real),Quiz:Quiz10 - 4.3 IdentifyDisplay (Real),Quiz:Quiz11 - 4.3 IdentifyDisplay (Real),4.3 IdentifyDisplay total (Real),Quiz:Quiz6 - 4.4 ReadFrequency (Real),Quiz:Quiz7 - 4.4 ReadFrequency (Real),Quiz:Quiz8 - 4.4 ReadFrequency (Real),Quiz:Quiz9 - 4.4 ReadFrequency (Real),Quiz:Quiz10 - 4.4 ReadFrequency (Real),Quiz:Quiz11 - 4.4 ReadFrequency (Real),4.4 ReadFrequency total (Real),Quiz:Quiz6 - 4.5 HarmonicsFormants (Real),Quiz:Quiz7 - 4.5 HarmonicsFormants (Real),Quiz:Quiz8 - 4.5 HarmonicsFormants (Real),Quiz:Quiz9 - 4.5 HarmonicsFormants (Real),Quiz:Quiz10 - 4.5 HarmonicsFormants (Real),Quiz:Quiz11 - 4.5 HarmonicsFormants (Real),4.5 HarmonicsFormants total (Real),Quiz:Quiz1 - 5 Apply (Real),Quiz:Quiz2 - 5 Apply (Real),Quiz:Quiz3 - 5 Apply (Real),Quiz:Quiz4 - 5 Apply (Real),Quiz:Quiz5 - 5 Apply (Real),Quiz:Quiz6 - 5 Apply (Real),Quiz:Quiz7 - 5 Apply (Real),Quiz:Quiz8 - 5 Apply (Real),Quiz:Quiz9 - 5 Apply (Real),Quiz:Quiz10 - 5 Apply (Real),Quiz:Quiz11 - 5 Apply (Real),5 Apply total (Real),Assignment:Preliminary Report submission (Real),Assignment:Revised recording script (Real),Turnitin Assignment:Term paper (Real),Assignment:Section participation (Real),Assignment:Final audio recording (Real),Assignment:Final video recording (Real),Course total (Real)
1,,2,-,1.17,2.67,-,6.33,-,-,8.67,-,-,20.83,2,-,2,2,-,6,-,-,10,-,-,22,-,-,-,-,-,-,-,-,10,-,-,10,-,0,0,2,-,4,-,-,2,-,-,8,-,-,-,-,-,1,-,-,3,-,-,4,-,-,3.33,-,-,2.4,5.73,-,-,-,-,-,-,-,-,0,-,-,98,-,9.2,19,0.67,1.67,-,3,-,-,2.33,-,-,7.67,-,-,-,-,-,3,-,-,3,-,-,-,1.38,-,-,1.38,-,-,-,2,-,-,3,5,-,-,-,0,-,-,3,-,-,-,1,-,-,1,-,-,-,4,-,-,4,-,-,-,-,-,-,-,-,1,-,-,1,3,0,47,1,-,-,65
2,,1.75,-,1.67,3,4.33,7.33,6.75,7.67,-,-,-,32.5,2,-,2,1,4,2,7,5,-,-,-,23,-,-,-,-,-,-,-,-,8,18,-,26,-,0,0,0,1,2,2,1,2,3,-,11,-,-,-,-,-,0,1,4,-,-,-,5,-,-,2.33,2.17,-,2.3,6.8,-,-,-,-,-,-,-,-,1,3,-,91,-,7.4,20.5,1,1.33,3.67,4,4,-,-,-,-,14,-,-,-,-,-,2,2,-,4,-,2,-,0,1.5,2.14,5.64,-,-,2,-,-,-,3,5,-,1,1,-,-,-,5,-,3,2,-,-,-,5,-,2,3,-,-,-,5,-,-,-,-,-,-,-,-,1,1,1,3,3,10,45,0.75,-,-,74.29
3,,1.75,-,1.67,3,5,7.25,-,-,-,-,-,18.67,2,-,1,2,4,8,-,-,-,-,-,17,-,-,-,-,-,-,-,-,6,17,16,39,-,0,0,0,4,1,3,2,-,-,-,10,-,-,-,-,-,0,1,3,4,-,-,8,-,-,3.5,3.33,3.83,2.7,13.37,-,-,-,-,-,-,-,-,2,6,5,94,-,7.2,29.6,0.67,1.33,3.33,3.33,-,-,-,-,-,8.67,-,-,-,-,-,2,2,2.5,6.5,-,1.5,-,0,1.5,2.63,5.63,-,-,1,2,2,2,3,10,-,2,2,-,-,-,7,-,2,3,-,-,-,5,-,2,3,-,-,-,5,-,-,-,-,-,-,-,-,1,1,0,2,3,10,45,1,-,-,74.56
4,,1.75,-,2,2.67,5,6.75,6,-,-,-,-,24.17,2,-,2,2,4,7,4,-,-,-,-,21,-,-,-,-,-,-,-,-,10,19,-,29,-,1,0,1,1,1,3,1,2,-,-,10,-,-,-,-,-,2,1,2,3,-,-,8,-,-,4,5,-,2.1,11.1,-,-,-,-,-,-,-,-,0,1,1,95,-,8.2,19.7,0.33,2,4,4,3.67,-,-,-,-,14,-,-,-,-,-,3,-,-,3,-,1,-,1.5,1.5,1.88,5.87,-,-,2,1,-,-,3,6,-,2,2,0,-,-,7,-,2,3,2,-,-,7,-,2,2,4,-,-,8,-,-,-,-,-,-,-,-,1,1,0,2,3,10,45,1,-,-,74.71
5,,2,-,1.67,3,4.5,7.75,7,7.33,9.33,-,-,42.58,2,-,2,2,4,5,4,3,3,-,-,25,-,-,-,-,-,-,-,-,9,17,15,41,-,1,0,0,1,3,4,1,2,-,-,12,-,-,-,-,-,3,2,4,4,-,-,13,-,-,4.33,4.67,4.5,2.8,16.3,-,-,-,-,-,-,-,-,1,1,3,95,-,7.1,21.6,1,2,4,4,4,-,4,3.67,-,22.67,-,-,-,-,-,2,2,2,6,-,1,-,3,3,2.5,9.5,-,-,2,2,1,2,3,10,-,2,2,0,2,1,10,-,2,2,2,2,0,8,-,3,3,4,2,2,14,-,-,-,-,-,-,-,-,1,1,1,3,3,9.5,47,1,-,-,82.88
6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,45
7,,1.75,-,1.33,1.33,-,5.92,4.67,-,6.75,-,-,21.75,2,-,0,1,2,1,1,-,-,-,-,7,-,-,-,-,-,-,-,-,8,-,-,8,-,0,0,0,1,2,1,-,2,-,-,6,-,-,-,-,-,2,4,-,1,-,-,7,-,-,1.83,-,-,1.9,3.73,-,-,-,-,-,-,-,-,0,-,-,93,-,7,16.3,0.33,1,1.67,3,3.67,-,-,-,-,9.67,-,-,-,-,-,1,-,-,1,-,0,-,-,-,-,0,-,-,-,-,-,-,2.5,2.5,-,2,-,-,-,-,4.5,-,0,-,-,-,-,0,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,3,10,38,0.75,-,-,61.71
8,,1.75,-,1.42,2.67,3.83,7.08,6.42,4.58,-,-,-,27.75,1,-,1,2,2,5,5,5,-,-,-,21,-,-,-,-,-,-,-,-,7,16,17,40,-,1,0,0,1,2,4,1,2,-,-,11,-,-,-,-,-,0,3,3,-,-,-,6,-,-,3.33,2.83,-,2,8.17,-,-,-,-,-,-,-,-,0,-,-,91,-,7.4,16.5,0.33,2,3.67,4,3.33,-,-,-,-,13.33,-,-,-,-,-,3,2,-,5,-,0,-,2.5,2,2,6.5,-,-,2,-,-,-,3,5,-,2,2,-,-,-,7,-,1,2,-,-,-,3,-,2,3,-,-,-,5,-,-,-,-,-,-,-,-,1,1,1,3,3,10,48,1,-,-,74.93
9,,1.75,-,0.58,-,-,6.75,-,3.33,8.17,-,-,20.58,1,-,1,-,-,4,-,2,4,-,-,12,-,-,-,-,-,-,-,-,6,16,-,22,-,-,0,-,-,1,-,1,-,1,-,3,-,-,-,-,-,3,-,0,-,-,-,3,-,-,1,2,-,1.8,4.8,-,-,-,-,-,-,-,-,-,-,-,90,-,9.3,18.3,1,-,-,3.67,-,-,-,-,-,4.67,-,-,-,-,-,1,1,-,2,-,-,-,-,1,-,1,-,-,1,-,1,-,3,5,-,-,1.5,-,-,-,4.5,-,-,1,-,1,-,2,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,1,1,-,2,3,10,45,0.5,-,-,65.42
10,,2,-,1.67,3,4.17,7.5,8,8,-,-,-,34.33,2,-,2,1,2,4,6,7,-,-,-,24,-,-,-,-,-,-,-,-,9,18,-,27,-,1,0,0,-,-,-,1,4,2,0,8,-,-,-,-,-,-,-,5,-,-,-,5,-,-,1.33,0.67,1.5,2.7,6.2,-,-,-,-,-,-,-,-,-,3,2,92,-,7.6,21.8,1,1.33,-,-,-,-,-,-,-,2.33,-,-,-,-,-,2,2.5,-,4.5,-,-,-,1.5,0,1.5,3,-,-,1,0,0,2,3,6,-,-,0.5,0,2,-,5.5,-,-,1,0,2,-,3,-,-,3,2,-,-,5,-,-,-,-,-,-,-,-,1,1,1,3,3,10,39,0.5,-,-,71.1
11,,2,-,1.42,3,-,6.5,7.5,-,-,-,-,20.42,1,-,2,2,-,3,3,-,-,-,-,11,-,-,-,-,-,-,-,-,5,16,-,21,-,0,0,0,-,1,1,0,3,1,6,12,-,-,-,-,-,0,2,4,-,-,-,6,-,-,0,2,2,2.6,6.6,-,-,-,-,-,-,-,-,1,4,3,86,-,0,16.6,0.33,1,-,3,3.67,-,-,-,-,8,-,-,-,-,-,2,-,-,2,-,1,-,1,1,1.5,4.5,-,-,2,-,-,-,3,5,-,2,2,-,-,-,7,-,1,2,-,-,-,3,-,1,3,-,-,-,4,-,-,-,-,-,-,-,-,1,1,0,2,3,10,50,0.5,-,-,69.91
